2017-06-09,"45,680","46,440","45,600","46,100","45,692.00","45,418.0045,503.00","43,387","40,586","11,732,850"
2017-06-12,"45,420","45,600","45,140","45,380","45,576.00","45,348.0045,481.00","43,467","40,670","10,954,300"
2017-06-13,"45,140","45,620","45,140","45,400","45,468.00","45,326.0045,446.00","43,534","40,752","8,624,900"
2017-06-14,"45,800","46,060","45,240","45,360","45,480.00","45,398.0045,395.00","43,600","40,837","10,166,700"
2017-06-15,"45,680","45,920","45,180","45,680","45,584.00","45,496.0045,362.00","43,664","40,918","9,657,000"
2017-06-16,"45,500","45,940","45,460","45,580","45,480.00","45,586.0045,344.00","43,717","40,999","17,403,450"
2017-06-19,"45,580","46,560","45,560","46,560","45,716.00","45,646.0045,436.00","43,795","41,085","11,303,900"
2017-06-20,"47,240","48,140","47,220","48,140","46,264.00","45,866.0045,588.00","43,888","41,185","15,045,000"
2017-06-21,"47,740","48,120","47,480","47,480","46,688.00","46,084.0045,716.00","43,972","41,280","9,973,650"
2017-06-22,"47,960","48,080","47,720","47,960","47,144.00","46,364.0045,870.00","44,074","41,382","11,455,800"
2017-06-23,"47,600","47,780","47,420","47,620","47,552.00","46,516.0045,967.00","44,176","41,479","9,515,100"
2017-06-26,"47,520","48,360","47,520","48,280","47,896.00","46,806.0046,077.00","44,294","41,582","8,552,800"
2017-06-27,"48,220","48,400","47,900","48,300","47,928.00","47,096.0046,211.00","44,408","41,686","9,616,750"
2017-06-28,"47,600","48,000","47,560","47,700","47,972.00","47,330.0046,364.00","44,507","41,784","9,572,500"
2017-06-29,"48,040","48,320","47,940","47,940","47,968.00","47,556.0046,526.00","44,606","41,882","8,306,550"
2017-06-30,"47,500","47,620","47,100","47,540","47,952.00","47,752.0046,669.00","44,712","41,974","11,877,550"
2017-07-03,"47,500","47,780","47,120","47,220","47,740.00","47,818.0046,732.00","44,808","42,067","6,805,550"
2017-07-04,"47,160","47,400","46,900","47,000","47,480.00","47,704.0046,785.00","44,890","42,162","7,961,000"
2017-07-05,"46,820","47,680","46,780","47,580","47,456.00","47,714.0046,899.00","44,981","42,257","10,640,250"
2017-07-06,"48,000","48,100","47,720","48,060","47,480.00","47,724.0047,044.00","45,084","42,347","10,923,050"
2017-07-07,"47,740","48,120","47,620","47,860","47,544.00","47,748.0047,132.00","45,189","42,436","8,131,900"
2017-07-10,"48,500","48,900","48,320","48,660","47,832.00","47,786.0047,296.00","45,301","42,522","10,792,750"
2017-07-11,"48,640","49,000","48,280","49,000","48,232.00","47,856.0047,476.00","45,424","42,607","9,717,800"
